chords
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
E
B
F#
G#m
D#m
E
B
F#
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
E
B
F#
G#m
D#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
B
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
E
B
F#
G#m
D#m
E
B
F#
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
E
B
F#
G#m
D#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
B
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
E
B
F#
G#m
D#m
E
B
F#
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
E
B
F#
G#m
D#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
B
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
E
B
F#
G#m
D#m
E
B
F#
G#m
B
F#
G#m
B
F#
G#m
B
F#
C#m
E
G#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
B
G#m
D#m
F#
E
B
F#
G#m
D#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
G#m
E
B
F#
B
